PLAYER,TEAM,POSITION,Bats,PA,AVG,OBP,SLG,OPS,1B,1B%,2B,2B%,3B,3B%,HR,HR%,R,RBI,SB,CS,SB%,BB,BB%,K,K%,HBP,OUT%,,
Austin Meadows,Tampa Bay Rays,DH,L,591,0.291,0.364,0.558,0.922,154,0.261,29,0.049,7,0.012,33,0.056,83,89,12,7,0.632,54,0.091,131,0.222,7,0.310,,
Jeff Mathis,Texas Rangers,C,R,244,0.158,0.209,0.224,0.433,36,0.148,9,0.037,0,0,2,0.008,17,12,1,0,1.000,15,0.061,87,0.357,0,0.389,,
Ronald Guzman,Texas Rangers,1B,L,295,0.219,0.308,0.414,0.723,56,0.190,20,0.068,0,0,10,0.034,34,36,1,2,0.333,32,0.108,87,0.295,3,0.305,,
Rougned Odor,Texas Rangers,2B,L,581,0.205,0.283,0.439,0.721,107,0.184,30,0.052,1,0.002,30,0.052,77,93,11,9,0.550,52,0.090,178,0.306,5,0.315,,
Asdrubal Cabrera,Texas Rangers,3B,S,514,0.260,0.342,0.441,0.783,116,0.226,25,0.049,1,0.002,18,0.035,69,91,4,0,1.000,57,0.111,103,0.200,3,0.377,,
Elvis Andrus,Texas Rangers,SS,R,648,0.275,0.313,0.393,0.707,165,0.255,27,0.042,4,0.006,12,0.019,81,72,31,8,0.795,34,0.052,96,0.148,4,0.478,,
Danny Santana,Texas Rangers,LF,S,511,0.283,0.324,0.534,0.857,134,0.262,23,0.045,6,0.012,28,0.055,81,81,21,6,0.778,25,0.049,151,0.295,6,0.282,,
Delino DeShields,Texas Rangers,CF,R,408,0.249,0.325,0.347,0.672,89,0.218,15,0.037,4,0.010,4,0.010,42,32,24,6,0.800,38,0.093,100,0.245,3,0.387,,
Nomar Mazara,Texas Rangers,RF,L,469,0.268,0.318,0.469,0.786,115,0.245,27,0.058,1,0.002,19,0.041,69,66,4,1,0.800,28,0.060,108,0.230,6,0.365,,
Shin-Soo Choo,Texas Rangers,DH,L,660,0.265,0.371,0.455,0.826,149,0.226,31,0.047,2,0.003,24,0.036,93,61,15,1,0.938,78,0.118,165,0.250,18,0.320,,
